         1062176723 function calls (1060315933 primitive calls) in 130.675 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 sequential.py:38(DFF)
        1    0.000    0.000    0.000    0.000 sequential.py:103(RAM512)
        1    0.000    0.000    0.000    0.000 sequential.py:107(RAM4K)
        1    0.000    0.000    0.000    0.000 sequential.py:62(Register)
        1    0.000    0.000    0.000    0.000 case.py:44(_UnexpectedSuccess)
        1    0.000    0.000    0.000    0.000 case.py:241(tearDownClass)
        1    0.000    0.000    0.000    0.000 sequential.py:99(RAM64)
        1    0.000    0.000    0.000    0.000 result.py:73(startTestRun)
        1    0.000    0.000    0.000    0.000 case.py:237(setUpClass)


